"","gene_name","mass_Da"
"1","thrA",89119.23328
"2","thrB",33623.29514
"3","thrC",47113.25976
"4","yaaX",11322.73504
"5","yaaA",29585.45758
"6","yaaJ",51662.30078
"7","talB",35218.81468
"8","mog",21222.10738
"9","satP",20070.63488
"10","yaaW",26664.57962
"11","yaaI",14481.41978
"12","dnaK",69114.13582
"13","dnaJ",41099.88004
"14","insL1",40908.3311
"15","hokC",5501.51176
"16","mokC",7742.20686
"17","nhaA",41323.12458
"18","nhaR",34284.04474
"19","insB1",19564.35572
"20","insA",9836.21572
"21","rpsT",9666.24368
"22","yaaY",7890.28552
"23","ribF",34733.84574
"24","ileS",104295.6231
"25","lspA",18156.09938
"26","fkpB",16080.81766
"27","ispH",34774.1516
"28","rihC",32560.41888
"29","dapB",28756.29148
"30","carA",41412.47668
"31","carB",117840.38504
"32","caiF",15436.00946
"33","caiE",21212.08382
"34","caiD",28189.899
"35","caiC",58558.4609
"36","caiB",45126.2591
"37","caiA",42557.95476
"38","caiT",56586.63026
"39","fixA",27143.43986
"40","fixB",33512.77106
"41","fixC",45702.31354
"42","fixX",10478.8212
"43","yaaU",48666.30006
"44","kefF",20169.74186
"45","kefC",67795.05958
"46","folA",17999.16902
"47","apaH",31296.35138
"48","apaG",13866.59186
"49","rsmA",30419.80134
"50","pdxA",35113.36466
"51","surA",47283.17996
"52","lptD",89670.05816
"53","djlA",30579.0402
"54","rluA",24860.36452
"55","rapA",109767.75992
"56","polB",90019.39954
"57","araD",25518.61358
"58","araA",56073.36222
"59","araB",61088.72856
"60","araC",33383.513
"61","yabI",28243.7938
"62","thiQ",24998.867
"63","thiP",59532.47034
"64","thiB",36130.89818
"65","sgrR",63974.37834
"66","sgrT",5338.0896
"67","setA",42712.73602
"68","leuD",22487.20854
"69","leuC",49881.29796
"70","leuB",39516.56416
"71","leuA",57297.249
"72","leuL",3145.72922
"73","leuO",35694.32512
"74","ilvI",62983.63932
"75","ilvH",17976.5441
"76","cra",37966.84046
"77","mraZ",17385.83526
"78","rsmH",34877.40028
"79","ftsL",13626.67432
"80","ftsI",63876.66332
"81","murE",53310.93288
"82","murF",47446.58692
"83","mraY",39874.2569
"84","murD",46973.10066
"85","ftsW",45986.555
"86","murG",37814.27944
"87","murC",53625.3366
"88","ddlB",32839.33356
"89","ftsQ",31433.3591
"90","ftsA",45329.45666
"91","ftsZ",40323.46812
"92","lpxC",33955.53186
"93","secM",18847.25614
"94","secA",102021.8312
"95","mutT",14926.88958
"96","yacG",7306.0966
"97","zapD",28291.29094
"98","coaE",22621.42762
"99","guaC",37383.2626
"100","hofC",44449.99262
"101","hofB",50614.74996
"102","ppdD",15621.59526
"103","nadC",32761.66516
"104","ampD",20535.93276
"105","ampE",32121.58052
"106","aroP",49689.55116
"107","pdhR",29425.11322
"108","aceE",99667.29074
"109","aceF",66095.27492
"110","lpd",50687.8854
"111","yacH",69361.14038
"112","acnB",93464.96128
"113","yacL",13941.40324
